Date,n_members,n_covered,coverage
2000-01-31,495,0,0.0
2000-02-29,492,0,0.0
2000-03-31,492,0,0.0
2000-04-30,492,0,0.0
2000-05-31,493,0,0.0
2000-06-30,492,0,0.0
2000-07-31,492,0,0.0
2000-08-31,492,0,0.0
2000-09-30,492,0,0.0
2000-10-31,492,0,0.0
2000-11-30,492,0,0.0
2000-12-31,492,0,0.0
2001-01-31,494,0,0.0
2001-02-28,495,239,0.48282828282828283
2001-03-31,495,240,0.48484848484848486
2001-04-30,495,241,0.4868686868686869
2001-05-31,495,242,0.4888888888888889
2001-06-30,495,243,0.4909090909090909
2001-07-31,495,244,0.49292929292929294
2001-08-31,495,243,0.4909090909090909
2001-09-30,496,243,0.4899193548387097
2001-10-31,496,243,0.4899193548387097
2001-11-30,497,244,0.4909456740442656
2001-12-31,496,245,0.4939516129032258
2002-01-31,495,246,0.49696969696969695
2002-02-28,495,246,0.49696969696969695
2002-03-31,495,246,0.49696969696969695
2002-04-30,495,246,0.49696969696969695
2002-05-31,495,248,0.501010101010101
2002-06-30,495,249,0.503030303030303
2002-07-31,495,253,0.5111111111111111
2002-08-31,494,254,0.5141700404858299
2002-09-30,494,254,0.5141700404858299
2002-10-31,494,254,0.5141700404858299
2002-11-30,494,255,0.5161943319838057
2002-12-31,494,256,0.5182186234817814
2003-01-31,494,257,0.520242914979757
2003-02-28,494,258,0.5222672064777328
2003-03-31,495,259,0.5232323232323233
2003-04-30,494,259,0.5242914979757085
2003-05-31,494,259,0.5242914979757085
2003-06-30,494,260,0.5263157894736842
2003-07-31,494,261,0.52834008097166
2003-08-31,494,261,0.52834008097166
2003-09-30,494,261,0.52834008097166
2003-10-31,494,261,0.52834008097166
2003-11-30,494,262,0.5303643724696356
2003-12-31,494,262,0.5303643724696356
2004-01-31,494,262,0.5303643724696356
2004-02-29,494,263,0.5323886639676113
2004-03-31,494,263,0.5323886639676113
2004-04-30,495,264,0.5333333333333333
2004-05-31,495,264,0.5333333333333333
2004-06-30,495,264,0.5333333333333333
2004-07-31,495,265,0.5353535353535354
2004-08-31,495,265,0.5353535353535354
2004-09-30,495,266,0.5373737373737374
2004-10-31,495,266,0.5373737373737374
2004-11-30,495,267,0.5393939393939394
2004-12-31,495,265,0.5353535353535354
2005-01-31,495,265,0.5353535353535354
2005-02-28,495,265,0.5353535353535354
2005-03-31,496,266,0.5362903225806451
2005-04-30,496,266,0.5362903225806451
2005-05-31,496,266,0.5362903225806451
2005-06-30,496,266,0.5362903225806451
2005-07-31,496,268,0.5403225806451613
2005-08-31,496,272,0.5483870967741935
2005-09-30,496,272,0.5483870967741935
2005-10-31,496,273,0.5504032258064516
2005-11-30,497,274,0.5513078470824949
2005-12-31,497,276,0.5553319919517102
2006-01-31,497,277,0.5573440643863179
2006-02-28,497,278,0.5593561368209256
2006-03-31,497,278,0.5593561368209256
2006-04-30,497,281,0.5653923541247485
2006-05-31,497,281,0.5653923541247485
2006-06-30,497,282,0.5674044265593562
2006-07-31,497,282,0.5674044265593562
2006-08-31,497,282,0.5674044265593562
2006-09-30,497,282,0.5674044265593562
2006-10-31,497,283,0.5694164989939637
2006-11-30,497,285,0.5734406438631791
2006-12-31,497,286,0.5754527162977867
2007-01-31,497,286,0.5754527162977867
2007-02-28,497,287,0.5774647887323944
2007-03-31,497,290,0.5835010060362174
2007-04-30,497,292,0.5875251509054326
2007-05-31,498,292,0.5863453815261044
2007-06-30,497,292,0.5875251509054326
2007-07-31,497,292,0.5875251509054326
2007-08-31,497,293,0.5895372233400402
2007-09-30,497,295,0.5935613682092555
2007-10-31,497,297,0.5975855130784709
2007-11-30,497,300,0.6036217303822937
2007-12-31,498,303,0.608433734939759
2008-01-31,497,304,0.6116700201207244
2008-02-29,497,304,0.6116700201207244
2008-03-31,499,304,0.6092184368737475
2008-04-30,497,304,0.6116700201207244
2008-05-31,497,304,0.6116700201207244
2008-06-30,497,303,0.6096579476861167
2008-07-31,499,305,0.6112224448897795
2008-08-31,498,306,0.6144578313253012
2008-09-30,499,307,0.6152304609218436
2008-10-31,499,308,0.6172344689378757
2008-11-30,498,308,0.6184738955823293
2008-12-31,498,309,0.6204819277108434
2009-01-31,498,312,0.6265060240963856
2009-02-28,498,313,0.6285140562248996
2009-03-31,499,317,0.6352705410821643
2009-04-30,499,318,0.6372745490981964
2009-05-31,499,318,0.6372745490981964
